-1.97392e-11 0 2.00002 0.0063
-8.38915e-11 -1.55439e-14 4.00004 0.0252
-2.57843e-10 -6.99473e-14 8.00009 0.0756
-6.96113e-10 -2.20528e-13 16.0002 0.2016
-1.75316e-09 -6.03293e-13 32.0004 0.504
-4.2282e-09 -1.53136e-12 64.0007 1.2096
-9.90018e-09 -3.71238e-12 128.001 2.8224
-2.26879e-08 -8.72407e-12 256.003 6.4512
-5.11509e-08 -2.00468e-11 512.006 14.5152
-1.13852e-07 -4.52909e-11 1024.01 32.256
-2.50804e-07 -1.00976e-10 2048.02 70.9632
-5.4781e-07 -2.22742e-10 4096.05 154.829
-1.18802e-06 -4.87063e-10 8192.09 335.462
-2.56084e-06 -1.05728e-09 16384.2 722.534
-5.4913e-06 -2.28088e-09 32768.4 1548.29
-1.17218e-05 -4.89438e-09 65536.7 3303.01
-2.4922e-05 -1.0454e-08 131073 7018.91
-5.28009e-05 -2.22386e-08 262147 14863.6
-0.000111516 -4.71381e-08 524294 31378.6
-0.000234858 -9.95983e-08 1.04859e+06 66060.3
-0.000493372 -2.09841e-07 2.09718e+06 138727
-0.00103405 -4.40969e-07 4.19435e+06 290665
-0.00216273 -9.24515e-07 8.3887e+06 607755
-0.00451469 -1.93418e-06 1.67774e+07 1.26836e+06
-0.00940786 -4.03867e-06 3.35548e+07 2.64241e+06
-0.0195727 -8.41795e-06 6.71096e+07 5.49622e+06
-0.0406592 -1.75171e-05 1.34219e+08 1.14152e+07
-0.0843463 -3.63967e-05 2.68438e+08 2.3676e+07
-0.174748 -7.55183e-05 5.36877e+08 4.90432e+07
-0.361608 -0.000156486 1.07375e+09 1.01469e+08
-0.747438 -0.000323872 2.14751e+09 2.09702e+08
-1.54332 -0.000669543 4.29502e+09 4.32933e+08
-3.18353 -0.00138269 8.59003e+09 8.92924e+08
-6.56084 -0.00285257 1.71801e+10 1.83996e+09
-13.5092 -0.00587953 3.43601e+10 3.78816e+09
-27.7936 -0.0121078 6.87203e+10 7.79279e+09
-57.1375 -0.0249132 1.37441e+11 1.60185e+10
-117.375 -0.0512216 2.74881e+11 3.29029e+10
-240.952 -0.105234 5.49762e+11 6.75375e+10
-494.306 -0.216048 1.09952e+12 1.38538e+11
-1013.41 -0.443256 2.19905e+12 2.84004e+11
-2076.44 -0.908835 4.3981e+12 5.81862e+11
-4252.09 -1.86231 8.79619e+12 1.19143e+12
-8702.61 -3.81392 1.75924e+13 2.43828e+12
-17802.1 -7.80641 3.51848e+13 4.98738e+12
-36397.9 -15.97 7.03695e+13 1.01964e+13
-74383.2 -32.6543 1.40739e+14 2.08362e+13
-151941 -66.7372 2.81478e+14 4.2559e+13
-310233 -136.332 5.62956e+14 8.68913e+13
-633165 -278.378 1.12591e+15 1.77329e+14
-1.29173e+06 -568.184 2.25183e+15 3.61752e+14
